Date,BHG,PRX,ANH,BTI,GLN,NPN,AGL,FSR,AMS,GFI,SBK,VOD,S32,ANG,MTN,CPI,IMP,KIO,SOL,MNP,ABG,BID,SHP,SLM,SSW,NED,DSY,BVT,RNI,APN,INP,REM,NRP,NPH,CLS,WHL,EXX,HAR,OUT
2024-01-16,58337.0,54070.0,121050.0,56201.0,10490.0,290924.0,43000.0,6782.0,83301.0,24589.0,19982.0,10789.0,4236.0,31936.0,11020.0,202972.0,7400.0,53600.0,16800.0,37730.0,15705.0,43990.0,26120.0,7250.0,2267.0,21417.0,13408.0,25094.0,44906.0,20159.0,12779.0,15700.0,12104.0,12693.0,30140.0,6920.0,19244.0,10901.0,4113.0
2024-01-17,57451.0,53284.0,119500.0,56048.0,10096.0,284821.0,42023.0,6656.0,80270.0,24020.0,19527.0,10719.0,4112.0,30511.0,10768.0,201760.0,7177.0,51738.0,16240.0,37581.5,15450.0,44742.0,25975.0,7065.0,2128.0,20973.0,13281.0,24600.0,45310.0,20002.0,12309.0,15447.0,11996.0,12274.0,29947.0,6805.0,18697.0,10457.0,4077.0
2024-01-18,56651.0,53916.0,118064.0,55399.0,10030.0,289892.0,42940.0,6700.0,81994.0,23850.0,19719.0,10797.0,4099.0,30725.0,10765.0,206173.0,7345.0,52998.0,15846.0,37616.69921875,15642.0,44203.0,26054.0,7050.0,2128.0,21350.0,13367.0,24672.0,45850.0,20235.0,12393.0,15540.0,12009.0,12929.0,30366.0,6794.0,18919.0,10550.0,4115.0
2024-01-19,57198.0,54060.0,119251.0,55683.0,10010.0,292559.0,43000.0,6789.0,81627.0,24059.0,19736.0,10794.0,4051.0,30954.0,10570.0,208423.0,7240.0,53916.0,16133.0,37645.30078125,15700.0,44922.0,26444.0,7108.0,2103.0,21409.0,13328.0,23890.0,46988.0,20559.0,12372.0,15651.0,12280.0,13140.0,30564.0,6735.0,19209.0,10700.0,4194.0
2024-01-22,57350.0,53556.0,120472.0,56653.0,9780.0,289950.0,42602.0,6674.0,80714.0,24179.0,19695.0,10816.0,3930.0,30541.0,10601.0,204695.0,7161.0,52847.0,15794.0,37651.8984375,15618.0,44986.0,26165.0,7022.0,2130.0,21266.0,13340.0,23792.0,47060.0,20191.0,12614.0,15713.0,12383.0,12777.0,30530.0,6653.0,18995.0,10716.0,4150.0
2024-01-23,58798.0,55667.0,118527.0,55450.0,9810.0,303000.0,43786.0,6776.0,81108.0,25275.0,19848.0,10536.0,4079.0,31855.0,10525.0,208662.0,7428.0,53576.0,16099.0,38012.69921875,15776.0,44104.0,26245.0,7071.0,2189.0,21397.0,13505.0,24277.0,47350.0,19431.0,12575.0,15700.0,12427.0,13110.0,30328.0,6497.0,19075.0,10900.0,4025.0
2024-01-24,58688.0,57570.0,118900.0,55710.0,10004.0,319000.0,44454.0,6807.0,84176.0,26100.0,19838.0,10526.0,4172.0,33200.0,10479.0,204692.0,7700.0,56733.0,16152.0,34031.0,15895.0,43960.0,26455.0,7180.0,2255.0,21641.0,13502.0,24511.0,48175.0,18750.0,12474.0,15663.0,12366.0,13649.0,30000.0,6797.0,19608.0,11344.0,4173.0
2024-01-25,58309.0,57960.0,117255.0,55002.0,10037.0,317250.0,43776.0,6750.0,84837.0,26186.0,19750.0,10003.0,4126.0,32952.0,10114.0,205000.0,7620.0,56122.0,16190.0,34859.0,15919.0,43696.0,26698.0,7112.0,2257.0,21304.0,13444.0,24626.0,46533.0,19385.0,12097.0,15318.0,12319.0,13355.0,29778.0,6984.0,18913.0,11962.0,4181.0
2024-01-26,58073.0,57853.0,116647.0,55906.0,10160.0,321554.0,44922.0,6895.0,84150.0,26879.0,20210.0,10029.0,4160.0,33385.0,10434.0,205000.0,7500.0,58614.0,16200.0,35488.0,16398.0,44728.0,26612.0,7115.0,2270.0,21730.0,13579.0,24570.0,46869.0,20076.0,12108.0,15591.0,12340.0,13465.0,30000.0,7016.0,19000.0,12105.0,4250.0
2024-01-29,57781.0,57200.0,116278.0,56291.0,10098.0,318300.0,44920.0,6697.0,81446.0,26855.0,19950.0,9639.0,4125.0,33270.0,10000.0,200370.0,7269.0,56262.0,16304.0,34999.0,16225.0,44774.0,26353.0,7074.0,2250.0,21600.0,13448.0,24510.0,45998.0,19381.0,12352.0,15200.0,12406.0,12985.0,29621.0,7000.0,18791.0,11917.0,4203.0
