Date,PRX,ANH,NPN,BTI,GLN,CFR,BHG,AGL,AMS,FSR,VOD,SBK,KIO,IMP,SSW,CPI,MTN,MNP,S32,SOL,GFI,SLM,ANG,ABG,NPH,BID,SHP,DSY,NED,APN,PPH,OMU,BVT,CLS,REM,MCG,MRP,ARI,WHL,EXX
2022-01-17,135481.0,104893.0,261872.0,66248.0,8644.0,22920.0,51510.0,70657.0,177294.0,6455.0,13561.0,14615.0,49152.0,22344.0,5606.0,213100.0,16342.0,39816.0,4677.0,29025.0,15883.0,6278.0,30431.0,16289.0,21400.0,32350.0,20863.0,14536.0,18575.0,21993.0,2339.0,1440.0,19367.0,30707.0,13319.0,12249.0,21051.0,23808.0,5440.0,17450.0
2022-01-18,130846.0,104265.0,252865.0,65927.0,8731.0,22744.0,50297.0,70832.0,172426.0,6442.0,13512.0,14508.0,49860.0,21730.0,5542.0,210300.0,16350.0,38637.0,4678.0,30956.0,15690.0,6197.0,29587.0,16139.0,20589.0,33190.0,20762.0,14387.0,18247.0,21743.0,2344.0,1408.0,19375.0,30764.0,13260.0,11937.0,20611.0,23219.0,5406.0,17483.0
2022-01-19,128400.0,101788.0,252159.0,65170.0,8808.0,23901.0,51205.0,74022.0,180557.0,6477.0,13468.0,14391.0,54321.0,22999.0,5865.0,201900.0,16378.0,39345.0,4654.0,31581.0,15700.0,6135.0,29608.0,16141.0,20876.0,33257.0,20776.0,14337.0,18300.0,20500.0,2350.0,1367.0,19298.0,31389.0,13099.0,11824.0,21196.0,24511.0,5490.0,18015.0
2022-01-20,133212.0,99991.0,264962.0,63970.0,8562.0,23390.0,51020.0,72733.0,184460.0,6408.0,13525.0,14426.0,54321.0,23229.0,5980.0,199220.0,16571.0,39026.0,4699.0,31321.0,17000.0,6118.0,32002.0,16139.0,21510.0,33076.0,20447.0,14440.0,18246.0,21285.0,2368.0,1352.0,19045.0,30770.0,13080.0,12098.0,20982.0,24807.0,5402.0,17991.0
2022-01-21,129846.0,100061.0,257201.0,65000.0,8387.0,22522.0,52130.0,70397.0,179000.0,6346.0,13703.0,14400.0,54546.0,22980.0,5883.0,201164.0,16557.0,38209.0,4549.0,31134.0,16953.0,6119.0,31694.0,16198.0,21283.0,32789.0,20758.0,14571.0,18201.0,21610.0,2389.0,1363.0,19028.0,30922.0,13050.0,12161.0,21729.0,24182.0,5205.0,17943.0
2022-01-24,126512.0,98233.0,250432.0,65955.1484375,7964.0,21300.0,52495.0,68621.0,173071.0,6172.0,13632.0,14103.0,49784.0,21758.0,5400.0,198042.0,15932.0,37043.0,4330.0,29320.0,16486.0,5994.0,30172.0,15820.0,19924.0,31849.0,20465.0,14438.0,17750.0,20300.0,2287.0,1325.0,18601.0,31116.5,12695.0,11704.0,20882.0,22721.0,5062.0,17127.0
2022-01-25,121301.0,97742.0,241000.0,65110.0,8021.0,21220.0,52607.0,67613.0,180162.0,6121.0,14029.0,14258.0,50445.0,22300.0,5594.0,200003.0,16035.0,36981.0,4300.0,30400.0,16966.0,6053.0,30936.0,15931.0,20427.0,31371.0,20383.0,14595.0,18042.0,20400.0,2300.0,1343.0,18222.0,31235.0,12730.0,11999.0,20225.0,22958.0,4948.0,17395.0
2022-01-26,121200.0,98862.0,243000.0,65242.0,8271.0,21990.0,50090.0,70399.0,191500.0,6174.0,13903.0,14380.0,52764.0,23634.0,5945.0,200000.0,17132.0,37500.0,4400.0,32600.0,17120.0,6094.0,30818.0,16119.0,21298.0,32103.0,20261.0,14850.0,18398.0,20500.0,2275.0,1334.0,18305.0,29230.0,12990.0,12090.0,20360.0,23615.0,5022.0,17441.0
2022-01-27,120220.0,99004.0,234604.0,65700.0,8329.0,21655.0,48395.0,70919.0,187676.0,6189.0,13915.0,14621.0,53863.0,22847.0,5731.0,199000.0,16789.0,37855.0,4450.0,33800.0,15800.0,6145.0,28536.0,16529.0,20315.0,32399.0,20460.0,15127.0,18700.0,20550.0,2251.0,1356.0,18409.0,28750.0,12906.0,12133.0,19995.0,22648.0,5086.0,17228.0
2022-01-28,120201.0,97144.0,234766.0,66200.0,8226.0,21668.0,49438.0,69341.0,178065.0,6259.0,14232.0,14931.0,53803.0,22200.0,5468.0,199153.0,17434.0,38072.0,4253.0,34290.0,15490.0,6130.0,28048.0,16835.0,19750.0,32400.0,21057.0,15213.0,18968.0,20613.0,2207.0,1380.0,18431.0,28706.0,12987.0,12251.0,19809.0,21874.0,5185.0,17236.0
2022-01-31,126573.0,96093.0,246206.0,66000.0,8017.0,21909.0,51851.0,67755.0,185526.0,6171.0,14683.0,14941.0,54069.0,23413.0,5653.0,201812.0,19212.0,38372.0,4380.0,34492.0,16139.0,6285.0,28690.0,16988.0,20296.0,33134.0,21001.0,15558.0,19052.0,20692.0,2261.0,1379.0,18770.0,29512.0,13265.0,12504.0,20385.0,22780.0,5287.0,16606.0
2022-02-01,127037.0,97650.0,250901.0,65511.0,8076.0,22574.0,52880.0,68350.0,184240.0,6203.0,14498.0,15000.0,53776.0,22713.0,5710.0,206500.0,19180.0,38715.0,4261.0,35266.0,16351.0,6296.0,29205.0,16915.0,19880.0,33179.0,20813.0,15587.0,19295.0,21670.0,2250.0,1381.0,18920.0,29348.0,13409.0,12310.0,20259.0,23339.0,5308.0,16736.0
2022-02-02,126000.0,98370.0,248000.0,65914.0,8282.0,22908.0,55017.0,69074.0,182261.0,6218.0,14549.0,15182.0,55931.0,22414.0,5605.0,205281.0,18515.0,39100.0,4475.0,35051.0,16334.0,6275.0,29231.0,16756.0,20245.0,33500.0,21681.0,15636.0,19306.0,21464.0,2175.0,1372.0,19025.0,29429.0,13379.0,12330.0,20202.0,23263.0,5240.0,17327.0
2022-02-03,123999.0,94803.0,244778.0,66240.0,8360.0,22370.0,55242.0,69138.0,180549.0,6288.0,14601.0,15552.0,56752.0,22190.0,5621.0,206578.0,18731.0,38731.0,4482.0,34047.0,15967.0,6285.0,28674.0,16957.0,19596.0,34193.0,22057.0,16075.0,19551.0,20565.0,2220.0,1386.0,19084.0,29375.0,13334.0,12265.0,20027.0,22809.0,5182.0,17357.0
2022-02-04,125626.0,94064.0,248038.0,67625.0,8397.0,21955.0,55028.0,69886.0,182145.0,6223.0,14645.0,15375.0,60066.0,22496.0,5779.0,206098.0,18700.0,38866.0,4600.0,35028.0,16132.0,6235.0,29214.0,16969.0,20200.0,33951.0,22000.0,15886.0,19527.0,20350.0,2210.0,1396.0,18761.0,29252.0,13100.0,12271.0,20084.0,23296.0,5163.0,17425.0
2022-02-07,126540.0,94921.0,247610.0,66460.0,8553.0,22045.0,55720.0,71430.0,185500.0,6256.0,14753.0,15406.0,60000.0,22766.0,5785.0,206000.0,18705.0,38943.0,4705.0,34343.0,16300.0,6211.0,29387.0,17123.0,20200.0,33889.0,22000.0,15700.0,19735.0,20300.0,2190.0,1383.0,19002.0,29382.0,13130.0,12280.0,20309.0,23080.0,5193.0,17700.0
2022-02-08,124280.0,95326.0,244663.0,67700.0,8620.0,21650.0,53200.0,72523.0,185710.0,6432.0,14512.0,15529.0,61546.0,22957.0,5878.0,209364.0,18813.0,38729.0,4921.0,34210.0,16886.0,6349.0,30414.0,17450.0,20562.0,33665.0,22420.0,15944.0,20159.0,20700.0,2250.0,1433.0,19066.0,29271.0,13553.0,12525.0,20709.0,23332.0,5279.0,17894.0
