Date,BHG,PRX,ANH,BTI,GLN,NPN,AGL,FSR,AMS,GFI,SBK,VOD,S32,ANG,MTN,CPI,IMP,KIO,SOL,MNP,ABG,BID,SHP,SLM,SSW,NED,DSY,MEI,BVT,RNI,APN,INP,REM,NRP,NPH,CLS,WHL,EXX,HAR
2023-01-17,58442.0,139337.0,105300.0,66236.0,11560.0,335500.0,74992.0,6439.0,138374.0,21204.0,16899.0,12691.0,5440.0,38548.0,13455.0,190375.0,22136.0,51721.0,28840.0,31528.0,19812.0,34953.0,24000.0,5362.0,4969.0,21304.0,13355.0,10460.0,21996.0,33000.0,14970.0,10677.0,13560.0,10770.0,19090.0,27948.0,6972.0,21476.0,6755.0
2023-01-18,58431.0,138984.0,103197.0,64441.0,11987.0,335720.0,76828.0,6449.0,139700.0,21119.0,17000.0,12464.0,5450.0,38250.0,13525.0,188500.0,22234.0,52128.0,29495.0,31487.0,19876.0,35510.0,24225.0,5396.0,5009.0,21523.0,13513.0,10443.0,22151.0,33200.0,14746.0,10870.0,13900.0,10874.0,19228.0,27839.0,7000.0,21551.0,6643.0
2023-01-19,58738.0,138200.0,102747.0,66224.0,12015.0,334494.0,75950.0,6436.0,139000.0,20946.0,16923.0,12436.0,5467.0,38400.0,13523.0,187455.0,21580.0,51402.0,29456.0,31530.0,19698.0,35507.0,24438.0,5369.0,4855.0,21533.0,13653.0,10549.0,22357.0,32727.0,14715.0,10912.0,13881.0,10886.0,18427.0,27652.0,7333.0,21751.0,6545.0
2023-01-20,58688.0,139870.0,102388.0,65894.0,12137.0,337710.0,75648.0,6405.0,132807.0,20900.0,17000.0,12122.0,5409.0,38129.0,13520.0,185139.0,21430.0,51317.0,29464.0,31365.0,19778.0,35357.0,24321.0,5334.0,4853.0,21900.0,13740.0,10517.0,22259.0,33050.0,14547.0,10921.0,14056.0,10826.0,18172.0,27256.0,7526.0,21615.0,6524.0
2023-01-23,59286.0,140800.0,102500.0,66339.0,12288.0,340231.0,76546.0,6498.0,133691.0,20802.0,17340.0,12217.0,5545.0,38400.0,13702.0,188864.0,21747.0,52181.0,30254.0,31830.0,20171.0,35930.0,24668.0,5415.0,4872.0,22481.0,13883.0,10532.0,22739.0,32898.0,14749.0,11028.0,14289.0,10763.0,18389.0,27620.0,7721.0,21830.0,6545.0
2023-01-24,58886.0,143000.0,102018.0,65543.0,11877.0,343614.0,74866.0,6470.0,131962.0,20583.0,17345.0,12327.0,5730.0,38000.0,13789.0,185200.0,21580.0,50895.0,31686.0,32040.0,20157.0,36159.0,24719.0,5447.0,4722.0,22495.0,13785.0,10546.0,22614.0,32798.0,14581.0,11106.0,14422.0,10700.0,18398.0,27349.0,7623.0,21884.0,6418.0
2023-01-25,59907.0,140795.0,102438.0,64620.0,11835.0,337866.0,76073.0,6417.0,131124.0,20780.0,17156.0,12255.0,5700.0,37570.0,13879.0,184357.0,21396.0,50205.0,31713.0,31885.0,20014.0,35832.0,24792.0,5434.0,4703.0,22339.0,13549.0,10522.0,22340.0,32738.0,14268.0,11021.0,14368.0,10707.0,18355.0,26670.0,7620.0,21950.0,6521.0
2023-01-26,60809.0,145000.0,102173.0,64627.0,11616.0,350035.0,76049.0,6436.0,129500.0,20992.0,17366.0,12150.0,5780.0,37493.0,14248.0,181500.0,20385.0,53063.0,31867.0,32799.0,20205.0,36800.0,24436.0,5575.0,4641.0,22676.0,13796.0,10522.0,22461.0,32800.0,14796.0,11132.0,14251.0,10679.0,18048.0,26450.0,7785.0,22068.0,6561.0
2023-01-27,60550.0,147000.0,100750.0,64622.0,11665.0,353951.0,76009.0,6507.0,130350.0,20449.0,17407.0,12187.0,5680.0,36869.0,14360.0,181617.0,20294.0,53390.0,32053.0,32820.0,20273.0,36747.0,23976.0,5641.0,4605.0,22800.0,13945.0,10564.0,22471.0,33051.0,15359.0,11247.0,14224.0,10692.0,17758.0,25883.0,7670.0,22490.0,6353.0
2023-01-30,60590.0,138018.0,102847.0,65400.0,11797.0,335481.0,75874.0,6549.0,130788.0,20362.0,17546.0,12262.0,5719.0,37299.0,14380.0,181336.0,20478.0,52859.0,31849.0,33001.0,20304.0,36350.0,24430.0,5661.0,4619.0,22833.0,13888.0,10663.0,22558.0,33124.0,14851.0,11200.0,14175.0,10728.0,17735.0,26437.0,7733.0,21725.0,6298.0
2023-01-31,60405.0,138800.0,103936.0,66457.0,11525.0,334655.0,73245.0,6445.0,128506.0,19731.0,17323.0,12200.0,5512.0,36195.0,14687.0,179175.0,20135.0,52955.0,31328.0,32500.0,19885.0,35850.0,24014.0,5630.0,4535.0,22517.0,13800.0,10642.0,22458.0,32951.0,15118.0,11168.0,14000.0,10805.0,17067.0,26538.0,7541.0,21776.0,6159.0
2023-02-01,59793.0,138620.0,104640.0,66405.0,11570.0,333399.0,71892.0,6598.0,128393.0,19638.0,18254.0,12170.0,5619.0,36098.0,14380.0,181919.0,20063.0,52571.0,31558.0,33336.0,20574.0,38204.0,23212.0,5791.0,4523.0,23420.0,14145.0,10530.0,22869.0,33000.0,14818.0,11290.0,14025.0,10871.0,16829.0,27002.0,7540.0,22091.0,6329.0
2023-02-02,57570.0,136757.0,101824.0,64910.0,11385.0,334913.0,70968.0,6553.0,132206.0,19366.0,18050.0,12403.0,5670.0,36441.0,14523.0,182115.0,20500.0,54618.0,31047.0,32976.0,20534.0,38795.0,23361.0,5889.0,4585.0,23748.0,14294.0,10350.0,23402.0,33229.0,14846.0,11168.0,14238.0,10840.0,17404.0,27732.0,7739.0,22292.0,6405.0
2023-02-03,58580.0,139892.0,103005.0,65749.0,11680.0,340000.0,71681.0,6590.0,133667.0,19202.0,17950.0,12354.0,5722.0,36150.0,14397.0,182854.0,20805.0,54236.0,30770.0,33271.0,20452.0,38940.0,23217.0,5879.0,4595.0,23475.0,14216.0,10461.0,24145.0,33201.0,14952.0,11300.0,14200.0,11015.0,17523.0,27474.0,7781.0,21889.0,6227.0
2023-02-06,58129.0,137900.0,103507.0,66228.0,11502.0,334000.0,70788.0,6477.0,130430.0,19050.0,17900.0,12340.0,5616.0,35463.0,14545.0,181731.0,20400.0,51410.0,30507.0,33740.0,20232.0,38743.0,23100.0,5822.0,4495.0,23319.0,14300.0,10553.0,23835.0,33190.0,14958.0,11080.0,13877.0,11035.0,16809.0,27275.0,7630.0,21185.0,6074.0
2023-02-07,58189.0,138500.0,102457.0,65279.0,11645.0,334967.0,71685.0,6489.0,133770.0,19582.0,17972.0,12384.0,5650.0,36000.0,14488.0,177708.0,20448.0,53289.0,28395.0,33041.0,20294.0,38549.0,23077.0,5800.0,4550.0,23140.0,14252.0,10496.0,23620.0,33354.0,14734.0,11098.0,13751.0,11052.0,17436.0,27077.0,7514.0,21628.0,6370.0
2023-02-08,59248.0,140880.0,103580.0,66100.0,11718.0,340054.0,71706.0,6465.0,128444.0,19602.0,17953.0,12318.0,5767.0,36075.0,14367.0,177485.0,20080.0,53315.0,29379.0,33053.0,20033.0,38549.0,23040.0,5840.0,4576.0,23163.0,14280.0,10616.0,23750.0,33718.0,14811.0,11391.0,13674.0,11036.0,17307.0,27000.0,7526.0,21629.0,6373.0
2023-02-09,59372.0,143650.0,103900.0,64500.0,11385.0,343127.0,72052.0,6495.0,124528.0,19242.0,18094.0,12333.0,5760.0,36030.0,14427.0,177935.0,19597.0,52651.0,29479.0,32627.0,19913.0,38000.0,23089.0,5835.0,4491.0,23205.0,14311.0,10640.0,23814.0,33207.0,14811.0,11545.0,13750.0,11092.0,16486.0,26423.0,7684.0,21257.0,6264.0
2023-02-10,58780.0,142387.0,103881.0,66100.0,11114.0,343296.0,69911.0,6426.0,122404.0,18876.0,17750.0,12252.0,5677.0,35266.0,14283.0,174226.0,19082.0,52431.0,29866.0,31711.0,18980.0,38000.0,23068.0,5695.0,4324.0,22823.0,14163.0,10739.0,23893.0,33269.0,14737.0,11329.0,13731.0,10943.0,16054.0,26507.0,7573.0,20434.0,5999.0
2023-02-13,58956.0,144369.0,104662.0,66940.0,11146.0,346443.0,70025.0,6481.0,124768.0,18912.0,17783.0,12173.0,5691.0,35267.0,14282.0,177165.0,19688.0,52947.0,29763.0,32065.0,19456.0,38880.0,23130.0,5715.0,4399.0,22915.0,14290.0,10760.0,24252.0,33525.0,14866.0,11504.0,13786.0,10969.0,16662.0,27109.0,7893.0,20734.0,6050.0
2023-02-14,59513.0,143325.0,105546.0,67529.0,11222.0,343173.0,70207.0,6554.0,122899.0,18697.0,17797.0,12282.0,5740.0,35019.0,14444.0,178350.0,19300.0,52730.0,29958.0,32391.0,19390.0,38567.0,23092.0,5789.0,4355.0,22988.0,14328.0,10810.0,24261.0,33439.0,14919.0,11550.0,13764.0,10886.0,16381.0,27175.0,7783.0,20604.0,6011.0
2023-02-15,58817.0,143815.0,106205.0,68419.0,10863.0,344537.0,67942.0,6470.0,116389.0,18090.0,17545.0,12480.0,5646.0,33185.0,14573.0,178932.0,18522.0,50963.0,29761.0,32095.0,19247.0,38510.0,23043.0,5824.0,4177.0,22917.0,14292.0,10730.0,24805.0,33699.0,15039.0,11501.0,13750.0,10942.0,15682.0,27182.0,7768.0,20400.0,5865.0
2023-02-16,60465.0,144581.0,106911.0,68064.0,11047.0,347613.0,70756.0,6481.0,113623.0,18232.0,17387.0,13002.0,5851.0,33143.0,14493.0,177535.0,18487.0,53142.0,30561.0,32295.0,19026.0,38228.0,22650.0,5850.0,4182.0,22916.0,14314.0,10736.0,24708.0,33901.0,14939.0,11650.0,13849.0,10806.0,15600.0,27196.0,7893.0,20608.0,5877.0
2023-02-17,59993.0,140542.0,105644.0,68168.0,11020.0,335905.0,69600.0,6458.0,114091.0,18218.0,17379.0,12800.0,5585.0,32766.0,14406.0,179187.0,18103.0,53158.0,29570.0,32500.0,19333.0,37635.0,22628.0,5804.0,4143.0,23086.0,14545.0,10753.0,24000.0,33871.0,14778.0,11751.0,13728.0,10865.0,15245.0,27164.0,7912.0,19765.0,5814.0
2023-02-20,62173.0,140700.0,107748.0,69329.0,11329.0,335703.0,72337.0,6493.0,111845.0,18400.0,17518.0,12767.0,5677.0,33357.0,14380.0,179291.0,18200.0,54708.0,29500.0,32198.0,19472.0,37600.0,22899.0,5788.0,4150.0,23106.0,14506.0,10827.0,23808.0,34112.0,14841.0,11758.0,13805.0,10800.0,15380.0,27191.0,7879.0,20082.0,5880.0
2023-02-21,60800.0,134343.0,107967.0,69777.0,11123.0,323263.0,69929.0,6505.0,110100.0,18377.0,17725.0,12751.0,5692.0,33201.0,14451.0,179492.0,17453.0,54026.0,27944.0,32600.0,19600.0,37350.0,22839.0,5816.0,3924.0,22978.0,14446.0,10950.0,23960.0,34800.0,14958.0,11664.0,13853.0,10731.0,14998.0,27389.0,7811.0,19693.0,5900.0
2023-02-22,58300.0,133433.0,108751.0,69457.0,10756.0,323600.0,66999.0,6539.0,103306.0,17530.0,18413.0,12692.0,5588.0,30851.0,14334.0,179380.0,16851.0,51671.0,26768.0,32118.0,19970.0,38099.0,22757.0,5780.0,3830.0,23453.0,14233.0,10956.0,23603.0,34839.0,14818.0,11640.0,13973.0,10831.0,14981.0,27190.0,7954.0,19206.0,5497.0
2023-02-23,57733.0,134228.0,111050.0,69862.0,10945.0,325733.0,67725.0,6752.0,106781.0,16916.0,18686.0,12767.0,5542.0,31351.0,14518.0,180000.0,17390.0,51712.0,27100.0,31136.0,19990.0,39654.0,23187.0,5849.0,3903.0,23738.0,14535.0,10964.0,24277.0,35165.0,14670.0,11788.0,14389.0,10925.0,15640.0,27115.0,7834.0,19641.0,5582.0
2023-02-24,55167.0,130700.0,110600.0,70497.0,10741.0,316977.0,62990.0,6511.0,105864.0,16382.0,18107.0,12650.0,5390.0,30679.0,14166.0,175862.0,17047.0,49592.0,26597.0,30985.0,19588.0,38624.0,22563.0,5804.0,3818.0,23008.0,14415.0,10950.0,23701.0,35167.0,14564.0,11474.0,14045.0,10913.0,15493.0,27000.0,7914.0,19850.0,5524.0
2023-02-27,55558.0,132494.0,111765.0,70900.0,10898.0,323000.0,63485.0,6523.0,104392.0,16670.0,18200.0,12716.0,5431.0,30794.0,14210.0,173750.0,17000.0,49122.0,26409.0,31383.0,19638.0,39586.0,22474.0,5835.0,3824.0,23079.0,14854.0,10958.0,23592.0,35330.0,14548.0,11693.0,14088.0,10925.0,15169.0,26890.0,7918.0,19704.0,5593.0
