Date,PRX,ANH,NPN,BTI,GLN,CFR,BHP,AGL,AMS,FSR,VOD,SBK,KIO,IMP,SSW,CPI,MTN,MNP,S32,SOL,GFI,SLM,ANG,ABG,NHM,BID,SHP,DSY,NED,APN,PPH,OMU,BVT,CLS,REM,MCG,MRP,ARI,WHL,EXX
2021-01-19,171994.0,103000.0,345000.0,55699.0,5597.0,14200.0,42886.0,53520.0,154450.0,5008.0,12340.0,12979.0,65200.0,22186.0,6192.0,142820.0,6349.0,36754.0,3001.0,17201.0,13375.0,5751.0,33610.0,11950.0,21270.0,27179.0,14094.0,14213.0,12899.0,14559.0,1460.0,1224.0,16457.0,27630.0,10350.0,13018.0,17684.0,29075.0,4070.0,15517.0
2021-01-20,176007.0,101226.0,350000.0,55690.0,5690.0,14375.0,44000.0,54326.0,152814.0,4957.0,12261.0,12858.0,65823.0,21161.0,6363.0,142402.0,6537.0,36800.0,3050.0,16970.0,13746.0,5838.0,34227.0,11900.0,20876.0,27058.0,13733.0,13697.0,12784.0,14642.0,1420.0,1290.0,16305.0,26573.0,10170.0,13044.0,16561.0,29736.0,4002.0,15600.0
2021-01-21,175297.0,100443.0,350000.0,56188.0,5680.0,14255.0,43811.0,54689.0,161262.0,4935.0,12411.0,12888.0,67163.0,22009.0,6386.0,137964.0,6553.0,37223.0,3032.0,16494.0,14443.0,5815.0,34079.0,11831.0,21443.0,26928.0,13784.0,13318.0,12658.0,14515.0,1433.0,1316.0,16131.0,26849.0,10308.0,13086.0,16673.0,30337.0,3990.0,16595.0
2021-01-22,181000.0,100010.0,356400.0,56425.0,5589.0,14575.0,43211.0,53918.0,162500.0,4817.0,12402.0,12471.0,67665.0,21690.0,6256.0,134708.0,6433.0,37650.0,3168.0,16150.0,14281.0,5810.0,34094.0,11492.0,20776.0,27139.0,13663.0,12948.0,12259.0,14508.0,1475.0,1286.0,15679.0,26437.0,10025.0,13057.0,16919.0,28840.0,4032.0,16533.0
2021-01-25,192100.0,97800.0,378768.0,56637.0,5399.0,14303.0,43425.0,52455.0,156261.0,4686.0,12519.0,12232.0,64936.0,21005.0,6101.0,134091.0,6496.0,37102.0,3194.0,15717.0,14999.0,5771.0,35633.0,11410.0,20187.0,26598.0,13900.0,12847.0,12175.0,14149.0,1526.0,1291.0,15498.0,26673.0,9928.0,13408.0,17010.0,28468.0,4472.0,16020.0
2021-01-26,182094.0,97114.0,360000.0,56528.0,5316.0,14246.0,43480.0,52145.0,157300.0,4767.0,12750.0,12474.0,66962.0,21200.0,5886.0,137622.0,6428.0,37494.0,3176.0,15194.0,14624.0,5839.0,35700.0,11547.0,19931.0,26495.0,14193.0,13030.0,12387.0,13987.0,1471.0,1312.0,16000.0,26745.0,10087.0,13324.0,17427.0,28597.0,4580.0,15826.0
2021-01-27,177504.0,96449.0,353500.0,58190.0,4949.0,14045.0,42410.0,48856.0,152686.0,4790.0,12793.0,12674.0,62480.0,20336.0,5521.0,140000.0,6472.0,35995.0,3049.0,14931.0,14349.0,5868.0,35445.0,11680.0,18924.0,25850.0,14515.0,13087.0,12460.0,14250.0,1471.0,1315.0,16188.0,26146.0,10054.0,13378.0,17452.0,27093.0,4554.0,15407.0
2021-01-28,177926.0,97300.0,351200.0,57050.0,5181.0,14279.0,42653.0,50718.0,161048.0,4852.0,12528.0,12849.0,61415.0,20934.0,5854.0,140000.0,6326.0,36473.0,3016.0,15148.0,14816.0,5932.0,35561.0,11649.0,19400.0,26028.0,14041.0,13051.0,12380.0,14487.0,1471.0,1305.0,16097.0,25769.0,10102.0,12945.0,17525.0,27417.0,4529.0,15261.0
2021-01-29,175440.0,96304.0,347800.0,55111.0,5162.0,13986.0,41700.0,50050.0,151777.0,4778.0,12377.0,12590.0,60822.0,20718.0,5895.0,138706.0,6260.0,35759.0,2925.0,16499.0,14885.0,5766.0,36165.0,11425.0,18995.0,25256.0,14012.0,12862.0,12239.0,14308.0,1474.0,1298.0,15686.0,24850.0,10050.0,12898.0,17287.0,27428.0,4493.0,15100.0
2021-02-01,176590.0,95944.0,353250.0,54354.0,5195.0,13887.0,42500.0,51600.0,161100.0,4710.0,12436.0,12476.0,61401.0,21220.0,5963.0,139821.0,6153.0,35995.0,3046.0,16395.0,14324.0,5705.0,35334.0,11280.0,19669.0,25154.0,13745.0,12760.0,12015.0,13875.0,1485.0,1288.0,15571.0,24850.0,9925.0,12700.0,17463.0,28298.0,4382.0,15192.0
2021-02-02,178172.0,98670.0,356500.0,55732.0,5020.0,14084.0,41575.0,49561.0,150000.0,4860.0,12562.0,12875.0,59250.0,20379.0,5824.0,139746.0,6197.0,36332.0,3166.0,16818.0,13919.0,5772.0,34512.0,11650.0,19098.0,25953.0,13790.0,12565.0,12636.0,14139.0,1495.0,1340.0,16061.0,24300.0,10000.0,12944.0,17641.0,26589.0,4433.0,14895.0
2021-02-03,179975.0,97478.0,359200.0,55225.0,5050.0,14071.0,41339.0,49655.0,152221.0,4905.0,12820.0,12951.0,59079.0,20502.0,5960.0,135084.0,6330.0,36524.0,3033.0,18800.0,13790.0,5741.0,34826.0,11800.0,19291.0,26304.0,13470.0,12598.0,12489.0,13970.0,1471.0,1353.0,15972.0,23917.0,10205.0,12995.0,17359.0,26820.0,4412.0,15228.0
2021-02-04,180650.0,98038.0,359683.0,55000.0,5084.0,14236.0,41773.0,49707.0,154092.0,5065.0,13165.0,13450.0,60424.0,21608.0,5963.0,134735.0,6615.0,36551.0,3250.0,19673.0,13518.0,6010.0,33404.0,12053.0,19745.0,26913.0,13855.0,13410.0,13046.0,13810.0,1512.0,1410.0,16438.0,24589.0,10476.0,13096.0,18272.0,26737.0,4600.0,15628.0
2021-02-05,180000.0,98156.0,356835.0,54450.0,5229.0,14227.0,41581.0,50516.0,157450.0,5205.0,12971.0,13885.0,60880.0,21474.0,6199.0,138816.0,6988.0,35879.0,3023.0,19526.0,13604.0,6190.0,33250.0,12800.0,19952.0,27573.0,13751.0,13913.0,13890.0,14242.0,1543.0,1481.0,17301.0,24736.0,10701.0,13150.0,18508.0,26710.0,4580.0,15500.0
2021-02-08,180950.0,97300.0,359000.0,55186.0,5455.0,14399.0,42917.0,52887.0,164149.0,5099.0,12900.0,13657.0,61800.0,21760.0,6385.0,139390.0,6866.0,37007.0,3005.0,20000.0,14158.0,6133.0,34338.0,12661.0,20179.0,27945.0,14171.0,13891.0,12658.0,14163.0,1526.0,1406.0,17107.0,24915.0,10400.0,13181.0,18553.0,26976.0,4583.0,16117.0
2021-02-09,181413.0,95669.0,359198.0,55923.0,5413.0,14508.0,42301.0,52412.0,163770.0,5050.0,12900.0,13545.0,61932.0,21750.0,6332.0,139776.0,7132.0,36354.0,2943.0,19837.0,13940.0,6234.0,34380.0,12631.0,19600.0,28335.0,14775.0,14558.0,12803.0,14300.0,1549.0,1464.0,17281.0,25478.0,10485.0,13196.0,19259.0,26858.0,4749.0,16470.0
2021-02-10,185350.0,95411.0,366231.0,55397.0,5630.0,14453.0,43239.0,55167.0,167486.0,5042.0,12895.0,13600.0,62877.0,22919.0,6736.0,139000.0,7232.0,36638.0,2997.0,20175.0,14379.0,6185.0,34950.0,12688.0,20700.0,28417.0,14549.0,14305.0,13020.0,14323.0,1569.0,1432.0,17162.0,25167.0,10512.0,13082.0,18886.0,27773.0,4690.0,16865.0
2021-02-11,183879.0,94336.0,370984.0,54884.0,5449.0,14493.0,42630.0,53538.0,166624.0,5030.0,12826.0,13708.0,62366.0,22500.0,6657.0,140500.0,7070.0,36302.0,2956.0,19631.0,14153.0,6196.0,35669.0,12738.0,20219.0,28048.0,14209.0,14221.0,13095.0,14306.0,1583.0,1430.0,17422.0,25318.0,10615.0,13250.0,18888.0,27313.0,4671.0,17098.0
2021-02-12,186466.0,93198.0,371100.0,54700.0,5393.0,14448.0,42653.0,53316.0,166837.0,5182.0,12972.0,14127.0,61746.0,22520.0,6484.0,140500.0,7446.0,37126.0,2958.0,20024.0,13711.0,6265.0,34654.0,13407.0,20507.0,28435.0,14444.0,14532.0,13773.0,14460.0,1571.0,1428.0,17500.0,25532.0,10885.0,13354.0,18746.0,27856.0,4693.0,17292.0
2021-02-15,186648.0,94674.0,373556.0,55967.0,5647.0,14416.0,44124.0,56040.0,177296.0,5202.0,12899.0,14016.0,64101.0,23308.0,6999.0,140100.0,7554.0,37667.0,2964.0,20321.0,14109.0,6242.0,34385.0,13329.0,21283.0,28409.0,14502.0,14476.0,13928.0,14508.0,1522.0,1428.0,17630.0,25784.0,10890.0,13200.0,18856.0,28700.0,4650.0,18036.0
2021-02-16,185633.0,95156.0,369924.0,55942.0,5899.0,14577.0,45550.0,56847.0,174718.0,5169.0,12844.0,13931.0,63113.0,23005.0,6899.0,139000.0,7475.0,37890.0,2989.0,20964.0,13520.0,6316.0,34027.0,13170.0,21109.0,28773.0,14632.0,14406.0,13742.0,14717.0,1516.0,1424.0,17508.0,25154.0,10802.0,13100.0,18514.0,28671.0,4627.0,17876.0
