Date,PRX,BTI,ANH,NPN,BHP,CFR,GLN,AGL,AMS,FSR,VOD,ANG,SBK,MNP,GFI,SLM,KIO,S32,CPI,SSW,MTN,IMP,BID,RMH,REM,ABG,SHP,DSY,OMU,RNI,APN,CLS,QLT,SOL,NRP,BVT,NED,NHM,ASR,MEI
2020-01-17,114516.0,65160.0,115583.0,251051.0,35109.0,12125.0,4610.0,42417.0,136000.0,6002.0,12192.0,29883.0,16443.0,30139.0,8939.0,7755.0,43200.0,2900.0,144972.0,3316.0,8400.0,15461.0,33559.0,7775.0,19013.0,13950.0,11552.0,12732.0,1975.0,29918.0,12121.0,26438.0,2939.0,27306.0,12740.0,22470.0,20754.0,14123.0,28380.0,7704.0
2020-01-20,115500.0,64500.0,114964.0,252000.0,34858.0,11730.0,4557.0,42529.0,138357.0,5975.0,12097.0,30499.0,16400.0,30472.0,9297.0,7740.0,42732.0,2868.0,143547.0,3200.0,8352.0,15857.0,34746.0,7710.0,18962.0,13946.0,11535.0,12677.0,1941.0,29589.0,12029.0,27014.0,2929.0,27315.0,12660.0,22355.0,20541.0,14311.0,28202.0,7600.0
2020-01-21,113818.0,64215.0,113935.0,247066.0,34282.0,11487.0,4499.0,41725.0,125431.0,6012.0,12067.0,29602.0,16470.0,30279.0,9099.0,7765.0,42079.0,2803.0,142594.0,3062.0,8282.0,14463.0,34481.0,7700.0,18901.0,14069.0,11490.0,12572.0,1880.0,28959.0,11827.0,26830.0,3125.0,27216.0,12539.0,22238.0,20540.0,13102.0,28000.0,7452.0
2020-01-22,109991.0,64133.0,112210.0,248635.0,34630.0,11430.0,4429.0,41410.0,124686.0,6105.0,12048.0,29399.0,16406.0,30761.0,9107.0,7700.0,41801.0,2760.0,141300.0,2370.0,8322.0,14543.0,34884.0,7766.0,18861.0,14090.0,11808.0,12448.0,1851.0,29334.0,11478.0,26550.0,3043.0,26704.0,12460.0,22135.0,20250.0,13150.0,28000.0,7684.0
2020-01-23,108411.0,64150.0,111528.0,243000.0,33578.0,11160.0,4309.0,40143.0,120000.0,6039.0,11982.0,29493.0,16230.0,30550.0,9165.0,7625.0,39000.0,2701.0,138960.0,2370.0,8230.0,13992.0,34325.0,7686.0,18900.0,13965.0,12010.0,12275.0,1812.0,29707.0,11483.0,25476.0,3030.0,25999.0,12400.0,21944.0,20271.0,12499.0,28000.0,7590.0
2020-01-24,109050.0,64255.0,112700.0,246709.0,33621.0,11260.0,4347.0,40427.0,119227.0,6040.0,12080.0,29342.0,16355.0,30737.0,9141.0,7687.0,38107.0,2675.0,139200.0,2115.0,8248.0,13550.0,34800.0,7699.0,18959.0,14017.0,12250.0,12529.0,1800.0,30465.0,11709.0,25825.0,3060.0,26450.0,12526.0,22124.0,20351.0,12245.0,28016.0,7468.0
2020-01-27,104648.0,63850.0,109889.0,237746.0,32609.0,11023.0,4211.0,38888.0,114343.0,5945.0,11910.0,30702.0,15965.0,29942.0,9367.0,7524.0,35855.0,2582.0,137278.0,2229.0,8088.0,13068.0,34330.0,7542.0,18625.0,13700.0,12054.0,12375.0,1759.0,30491.0,11630.0,25463.0,3002.0,25463.0,12288.0,21432.0,19952.0,11530.0,26829.0,7383.0
2020-01-28,105287.0,64050.0,110399.0,237677.0,32597.0,11045.0,4306.0,38946.0,114454.0,5920.0,11750.0,29615.0,15990.0,30015.0,9034.0,7486.0,35826.0,2625.0,137000.0,1901.0,8100.0,13464.0,34106.0,7523.0,18298.0,13800.0,11800.0,11923.0,1763.0,31000.0,11541.0,25361.0,3007.0,25470.0,12112.0,21250.0,19938.0,11648.0,26254.0,7299.0
2020-01-29,108288.0,63945.0,110709.0,245179.0,32665.0,11066.0,4353.0,39054.0,117700.0,5947.0,11936.0,28736.0,16121.0,30596.0,8891.0,7611.0,37392.0,2639.0,136500.0,1653.0,8171.0,13903.0,34442.0,7577.0,18570.0,13900.0,11718.0,12029.0,1786.0,31750.0,11499.0,25650.0,3275.0,25969.0,12265.0,21200.0,20130.0,12094.0,26513.0,7300.0
2020-01-30,108200.0,64673.0,111400.0,245995.0,32703.0,10984.0,4346.0,39177.0,121674.0,5953.0,11845.0,29752.0,16162.0,30826.0,9528.0,7604.0,36185.0,2615.0,136992.0,1890.0,8259.0,14434.0,34342.0,7565.0,18555.0,13985.0,11865.0,12001.0,1778.0,32346.0,11714.0,25230.0,3312.0,25650.0,12338.0,21234.0,20225.0,12506.0,25865.0,7220.0
2020-01-31,108041.0,65900.0,112945.0,246072.0,32572.0,10969.0,4376.0,39063.0,119950.0,5780.0,11725.0,30378.0,15748.0,30447.0,9779.0,7392.0,34954.0,2587.0,134615.0,1857.0,8079.0,14150.0,33225.0,7373.0,18250.0,13744.0,11706.0,11698.0,1730.0,32260.0,11604.0,24428.0,3325.0,23917.0,12350.0,20700.0,19571.0,12569.0,24526.0,7250.0
2020-02-03,108513.0,65574.0,112123.0,249558.0,32195.0,10915.0,4285.0,38653.0,117597.0,5763.0,11753.0,29706.0,15837.0,30324.0,9671.0,7398.0,34032.0,2523.0,134489.0,2254.0,8088.0,14150.0,32393.0,7356.0,18200.0,13760.0,11972.0,11690.0,1700.0,32100.0,11366.0,24462.0,3302.0,23450.0,12335.0,20733.0,19575.0,12443.0,24500.0,7214.0
2020-02-04,112115.0,65754.0,112148.0,258825.0,32602.0,11131.0,4447.0,39638.0,125272.0,5863.0,11632.0,28994.0,16198.0,30395.0,9310.0,7423.0,35161.0,2515.0,137218.0,2522.0,8117.0,15137.0,32588.0,7521.0,18663.0,14164.0,12099.0,11807.0,1728.0,32705.0,11713.0,24940.0,3302.0,23500.0,12334.0,20994.0,19896.0,13001.0,23588.0,7286.0
2020-02-05,113450.0,65422.0,113250.0,261516.0,33150.0,11240.0,4560.0,39850.0,123432.0,5978.0,11984.0,28651.0,16500.0,31600.0,9180.0,7500.0,35472.0,2578.0,139020.0,2677.0,8272.0,15025.0,32991.0,7648.0,18856.0,14443.0,12113.0,12280.0,1772.0,33481.0,12000.0,25000.0,3310.0,24550.0,12523.0,21566.0,20283.0,12743.0,24068.0,7297.0
2020-02-06,113991.0,66700.0,113924.0,261950.0,33000.0,11325.0,4587.0,39980.0,119510.0,6075.0,11895.0,28750.0,16776.0,32013.0,9486.0,7550.0,35407.0,2644.0,139007.0,2380.0,8203.0,14511.0,33075.0,7765.0,19030.0,14739.0,12040.0,12240.0,1768.0,33475.0,12105.0,25275.0,3280.0,24100.0,12514.0,21679.0,20513.0,12692.0,23202.0,7358.0
2020-02-07,114307.0,67000.0,112739.0,262404.0,32622.0,11295.0,4537.0,39588.0,117955.0,5920.0,11903.0,29702.0,16663.0,32184.0,10319.0,7450.0,33651.0,2625.0,137529.0,2403.0,8237.0,14675.0,32041.0,7597.0,18789.0,14642.0,12000.0,11903.0,1748.0,33358.0,11891.0,25067.0,3306.0,23400.0,12452.0,21545.0,20204.0,12381.0,22400.0,7456.0
2020-02-10,112750.0,66785.0,111433.0,260559.0,32078.0,11356.0,4450.0,39279.0,119881.0,5904.0,11842.0,29467.0,16535.0,32106.0,9971.0,7388.0,34105.0,2539.0,136625.0,2257.0,8283.0,14800.0,32118.0,7551.0,18617.0,14500.0,11686.0,11877.0,1726.0,33274.0,11420.0,25100.0,3343.0,22217.0,12390.0,21330.0,20001.0,12579.0,21800.0,7555.0
2020-02-11,114444.0,66700.0,110152.0,264300.0,32265.0,11217.0,4494.0,39444.0,120287.0,5948.0,11912.0,28601.0,16600.0,32505.0,9639.0,7369.0,34300.0,2547.0,137198.0,2063.0,8311.0,15055.0,32450.0,7621.0,18568.0,14652.0,11580.0,11691.0,1713.0,33380.0,11450.0,25200.0,3329.0,23044.0,12313.0,21358.0,20089.0,12819.0,21800.0,7490.0
2020-02-12,115804.0,66000.0,109846.0,266260.0,32996.0,11399.0,4615.0,41304.0,121784.0,6078.0,12364.0,28387.0,16850.0,33084.0,9299.0,7531.0,35064.0,2603.0,139424.0,2295.0,8810.0,15135.0,32594.0,7797.0,18710.0,14851.0,11429.0,11907.0,1762.0,33500.0,11659.0,25449.0,3266.0,24060.0,12315.0,21750.0,20400.0,12930.0,21982.0,7465.0
